dataset_pair	dataset_a	dataset_b	scale_variant	metric	mean	ci_low	ci_high	n_rows	n_finite_rows	n_compounds	ci_status	estimate_95_ci
L1000 Phase1–Tahoe	l1000_phase1	tahoe	raw	baseline_pair_direction_agreement_p05	0.7306995970616411	0.6895820463370321	0.7641506649930158	114	110	85	ok	0.731 [0.690, 0.764]
L1000 Phase1–Tahoe	l1000_phase1	tahoe	raw	delta_vs_baseline_pair_direction_agreement_p05	-0.017595526335950504	-0.15754723653228744	0.08404230241919634	114	32	26	ok	-0.018 [-0.158, 0.084]
L1000 Phase1–Tahoe	l1000_phase1	tahoe	raw	observed_direction_agreement_p05	0.735567815403538	0.601783503787704	0.8245238681479906	114	32	26	ok	0.736 [0.602, 0.825]
L1000 Phase1–Tahoe	l1000_phase1	tahoe	raw	raw_delta_vs_source_centroid_direction_agreement_p05	-0.017595526335950504	-0.14944035544989734	0.0815638526035147	114	32	26	ok	-0.018 [-0.149, 0.082]
L1000 Phase1–Tahoe	l1000_phase1	tahoe	raw	raw_delta_vs_source_peer_direction_agreement_p05	0.1467293271651866	0.015843524655255507	0.24033163912879882	114	32	26	ok	+0.147 [0.016, 0.240]
L1000 Phase1–Tahoe	l1000_phase1	tahoe	raw	raw_delta_vs_target_centroid_direction_agreement_p05	0.22633339044186018	0.10656259905689178	0.3267207669682161	114	32	26	ok	+0.226 [0.107, 0.327]
L1000 Phase1–Tahoe	l1000_phase1	tahoe	raw	raw_delta_vs_target_peer_direction_agreement_p05	0.2267683141628099	0.09491774280243058	0.32389907353903163	114	32	26	ok	+0.227 [0.095, 0.324]
L1000 Phase1–Tahoe	l1000_phase1	tahoe	raw	raw_source_centroid_direction_agreement_pair_p05	0.7306995970616411	0.6912939227460595	0.7640800761808131	114	110	85	ok	0.731 [0.691, 0.764]
L1000 Phase1–Tahoe	l1000_phase1	tahoe	raw	raw_source_peer_direction_agreement_pair_p05	0.5888384882383513	0.5747839084782045	0.6024263612640931	114	32	26	ok	0.589 [0.575, 0.602]
L1000 Phase1–Tahoe	l1000_phase1	tahoe	raw	raw_source_peer_direction_agreement_pair_p05_corrected_percentile	0.7417491883537254	0.5791140166580427	0.8546210428198333	114	32	26	ok	0.742 [0.579, 0.855]
