dataset_a	dataset_b	representation	retrieval_variant	similarity_metric	scale_variant	summary_level	metric	value_col	mean	ci_low	ci_high	ci_half_width	ci_method	ci_status	ci_level	n_bootstrap_iterations	n_bootstrap_valid	n_rows	n_finite_rows	n_compounds	cluster_col	inner_strata	outer_strata	uncertainty_scope
l1000_phase1	l1000_phase2	logFC	strict_matched_condition	cosine	per_gene_population_zscore_dataset_cell_type	reviewer_dataset_cell_type_retrieval_dataset_pair	delta_vs_target_decoy_null_normalized_best_positive_rank	delta_vs_target_decoy_null_normalized_best_positive_rank	0.014444196582913297	-0.014095559797205122	0.038816254213264303	0.026455907005234713	bca	ok	0.95	2000	2000	21857	21857	257	query_pubchem_cid	direction,cell_type,time_key	direction	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
l1000_phase1	l1000_phase2	logFC	strict_matched_condition	spearman	per_gene_population_zscore_dataset_cell_type	reviewer_dataset_cell_type_retrieval_dataset_pair	observed_normalized_best_positive_rank	observed_normalized_best_positive_rank	0.7949766784958466	0.7666909865250211	0.8349969160697507	0.03415296477236479	bca	ok	0.95	2000	2000	21857	21857	257	query_pubchem_cid	direction,cell_type,time_key	direction	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
l1000_phase1	l1000_phase2	logFC	strict_matched_condition	spearman	per_gene_population_zscore_dataset_cell_type	reviewer_dataset_cell_type_retrieval_dataset_pair	observed_recall_at_1	observed_recall_at_1	0.24528212492658674	0.17804749685457374	0.35300667955982085	0.08747959135262355	bca	ok	0.95	2000	2000	21857	21857	257	query_pubchem_cid	direction,cell_type,time_key	direction	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
l1000_phase1	l1000_phase2	logFC	strict_matched_condition	spearman	per_gene_population_zscore_dataset_cell_type	reviewer_dataset_cell_type_retrieval_dataset_pair	observed_auroc	observed_auroc	0.7927070171772221	0.7598815237911062	0.8337437297209369	0.03693110296491536	bca	ok	0.95	2000	2000	21857	21857	257	query_pubchem_cid	direction,cell_type,time_key	direction	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
l1000_phase1	l1000_phase2	logFC	strict_matched_condition	spearman	per_gene_population_zscore_dataset_cell_type	reviewer_dataset_cell_type_retrieval_dataset_pair	observed_best_positive_similarity	observed_best_positive_similarity	0.24546833369009444	0.19496489893848648	0.3349621465445296	0.06999862380302156	bca	ok	0.95	2000	2000	21857	21857	257	query_pubchem_cid	direction,cell_type,time_key	direction	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
l1000_phase1	l1000_phase2	logFC	strict_matched_condition	spearman	per_gene_population_zscore_dataset_cell_type	reviewer_dataset_cell_type_retrieval_dataset_pair	random_normalized_best_positive_rank	random_normalized_best_positive_rank					not_estimable	too_few_clusters_or_values	0.95	2000	0	21857	0	0	query_pubchem_cid	direction,cell_type,time_key	direction	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
l1000_phase1	l1000_phase2	logFC	strict_matched_condition	spearman	per_gene_population_zscore_dataset_cell_type	reviewer_dataset_cell_type_retrieval_dataset_pair	random_recall_at_1	random_recall_at_1					not_estimable	too_few_clusters_or_values	0.95	2000	0	21857	0	0	query_pubchem_cid	direction,cell_type,time_key	direction	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
l1000_phase1	l1000_phase2	logFC	strict_matched_condition	spearman	per_gene_population_zscore_dataset_cell_type	reviewer_dataset_cell_type_retrieval_dataset_pair	random_auroc	random_auroc					not_estimable	too_few_clusters_or_values	0.95	2000	0	21857	0	0	query_pubchem_cid	direction,cell_type,time_key	direction	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
l1000_phase1	l1000_phase2	logFC	strict_matched_condition	spearman	per_gene_population_zscore_dataset_cell_type	reviewer_dataset_cell_type_retrieval_dataset_pair	delta_vs_random_normalized_best_positive_rank	delta_vs_random_normalized_best_positive_rank	0.013068665644656093	-0.011729006275206072	0.035809025318272264	0.02376901579673917	bca	ok	0.95	2000	2000	21857	21857	257	query_pubchem_cid	direction,cell_type,time_key	direction	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
l1000_phase1	l1000_phase2	logFC	strict_matched_condition	spearman	per_gene_population_zscore_dataset_cell_type	reviewer_dataset_cell_type_retrieval_dataset_pair	source_individual_n_peers	source_individual_n_peers	228.03093011686659	216.2984148490111	238.11756172140863	10.90957343619877	bca	ok	0.95	2000	2000	21857	21857	257	query_pubchem_cid	direction,cell_type,time_key	direction	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
l1000_phase1	l1000_phase2	logFC	strict_matched_condition	spearman	per_gene_population_zscore_dataset_cell_type	reviewer_dataset_cell_type_retrieval_dataset_pair	source_individual_mean_similarity	source_individual_mean_similarity	0.08350929853690921	0.07584976178746126	0.08963050121009944	0.006890369711319087	bca	ok	0.95	2000	2000	21857	21576	257	query_pubchem_cid	direction,cell_type,time_key	direction	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
l1000_phase1	l1000_phase2	logFC	strict_matched_condition	spearman	per_gene_population_zscore_dataset_cell_type	reviewer_dataset_cell_type_retrieval_dataset_pair	source_individual_sd_similarity	source_individual_sd_similarity	0.15632493906867123	0.15148661785371612	0.16112909742845888	0.004821239787371381	bca	ok	0.95	2000	2000	21857	21573	257	query_pubchem_cid	direction,cell_type,time_key	direction	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
