dataset_pair	dataset_a	dataset_b	scale_variant	metric	mean	ci_low	ci_high	n_rows	n_finite_rows	n_compounds	ci_status	estimate_95_ci
L1000 Phase1–Tahoe	l1000_phase1	tahoe	per_gene_population_zscore_dataset	w4_target_peer_spearman_logfc_pair	0.0008176113764726	-0.0013126892726217	0.0029913726086414	114	114	86	ok	0.001 [-0.001, 0.003]
L1000 Phase1–Tahoe	l1000_phase1	tahoe	per_gene_population_zscore_dataset	w4_target_peer_spearman_logfc_pair_corrected_percentile	0.6263929511462314	0.5656670450253835	0.6805336363599973	114	114	86	ok	0.626 [0.566, 0.681]
L1000 Phase1–Tahoe	l1000_phase1	tahoe	per_gene_population_zscore_dataset	w4_target_peer_spearman_logfc_pair_fraction_below_observed	0.6246689542623028	0.5609728818535004	0.680039737739071	114	114	86	ok	0.625 [0.561, 0.680]
L1000 Phase1–Tahoe	l1000_phase1	tahoe	per_gene_population_zscore_dataset	w4_target_peer_spearman_logfc_pair_sd_score	0.0510014643481646	0.0492628176434077	0.0531792959473046	114	114	86	ok	0.051 [0.049, 0.053]
L1000 Phase2–Cigs Mce	l1000_phase2	cigs_mce	per_gene_population_zscore_dataset	w4_delta_vs_source_centroid_spearman_logfc	-0.0918750758402339	-0.136711563560396	-0.0511937817259524	68	68	68	ok	-0.092 [-0.137, -0.051]
L1000 Phase2–Cigs Mce	l1000_phase2	cigs_mce	per_gene_population_zscore_dataset	w4_delta_vs_source_peer_spearman_logfc	0.095390140391136	0.0544840031649657	0.1369742441025805	68	68	68	ok	+0.095 [0.054, 0.137]
L1000 Phase2–Cigs Mce	l1000_phase2	cigs_mce	per_gene_population_zscore_dataset	w4_delta_vs_target_centroid_spearman_logfc	0.065208468880193	0.0380110900994204	0.094214691410642	68	68	68	ok	+0.065 [0.038, 0.094]
L1000 Phase2–Cigs Mce	l1000_phase2	cigs_mce	per_gene_population_zscore_dataset	w4_delta_vs_target_peer_spearman_logfc	0.1680151278626856	0.1338523818101072	0.2071168291139696	68	68	68	ok	+0.168 [0.134, 0.207]
L1000 Phase2–Cigs Mce	l1000_phase2	cigs_mce	per_gene_population_zscore_dataset	w4_observed_spearman_logfc	0.2191297047012725	0.1735448034632445	0.2645587548052625	68	68	68	ok	0.219 [0.174, 0.265]
L1000 Phase2–Cigs Mce	l1000_phase2	cigs_mce	per_gene_population_zscore_dataset	w4_source_centroid_spearman_logfc_pair	0.3110047805415064	0.2699217727665835	0.3473117167047959	68	68	68	ok	0.311 [0.270, 0.347]
L1000 Phase2–Cigs Mce	l1000_phase2	cigs_mce	per_gene_population_zscore_dataset	w4_source_peer_spearman_logfc_pair	0.1237395643101365	0.1071274902109486	0.137378061861483	68	68	68	ok	0.124 [0.107, 0.137]
L1000 Phase2–Cigs Mce	l1000_phase2	cigs_mce	per_gene_population_zscore_dataset	w4_source_peer_spearman_logfc_pair_corrected_percentile	0.6307071172627359	0.5661477168507066	0.6903843795905535	68	68	68	ok	0.631 [0.566, 0.690]
L1000 Phase2–Cigs Mce	l1000_phase2	cigs_mce	per_gene_population_zscore_dataset	w4_source_peer_spearman_logfc_pair_fraction_below_observed	0.6282835516405229	0.5662827011158978	0.6860898679284358	68	68	68	ok	0.628 [0.566, 0.686]
L1000 Phase2–Cigs Mce	l1000_phase2	cigs_mce	per_gene_population_zscore_dataset	w4_source_peer_spearman_logfc_pair_sd_score	0.1362938628594347	0.1289307503509303	0.144097462248206	68	68	68	ok	0.136 [0.129, 0.144]
L1000 Phase2–Cigs Mce	l1000_phase2	cigs_mce	per_gene_population_zscore_dataset	w4_target_centroid_spearman_logfc_pair	0.1539212358210795	0.1284359973018236	0.1804853746223685	68	68	68	ok	0.154 [0.128, 0.180]
L1000 Phase2–Cigs Mce	l1000_phase2	cigs_mce	per_gene_population_zscore_dataset	w4_target_peer_spearman_logfc_pair	0.0511145768385868	0.0410239385210695	0.0610189945965386	68	68	68	ok	0.051 [0.041, 0.061]
L1000 Phase2–Cigs Mce	l1000_phase2	cigs_mce	per_gene_population_zscore_dataset	w4_target_peer_spearman_logfc_pair_corrected_percentile	0.793877391220596	0.7229900851220762	0.8574111351694411	68	68	68	ok	0.794 [0.723, 0.857]
L1000 Phase2–Cigs Mce	l1000_phase2	cigs_mce	per_gene_population_zscore_dataset	w4_target_peer_spearman_logfc_pair_fraction_below_observed	0.792632449834338	0.7206090470117333	0.8522119747192123	68	68	68	ok	0.793 [0.721, 0.852]
L1000 Phase2–Cigs Mce	l1000_phase2	cigs_mce	per_gene_population_zscore_dataset	w4_target_peer_spearman_logfc_pair_sd_score	0.0787998948120665	0.0730716096909853	0.0853436484869299	68	68	68	ok	0.079 [0.073, 0.085]
L1000 Phase2–Sciplex	l1000_phase2	sciplex	per_gene_population_zscore_dataset	w4_delta_vs_source_centroid_spearman_logfc	-0.0522596322646653	-0.0708385122704695	-0.0267269842022448	127	127	83	ok	-0.052 [-0.071, -0.027]
L1000 Phase2–Sciplex	l1000_phase2	sciplex	per_gene_population_zscore_dataset	w4_delta_vs_source_peer_spearman_logfc	0.062125435790172	0.0376886836208753	0.0935504722174715	127	127	83	ok	+0.062 [0.038, 0.094]
L1000 Phase2–Sciplex	l1000_phase2	sciplex	per_gene_population_zscore_dataset	w4_delta_vs_target_centroid_spearman_logfc	0.0647301465046295	0.0473856462671851	0.0884303662100348	127	127	83	ok	+0.065 [0.047, 0.088]
L1000 Phase2–Sciplex	l1000_phase2	sciplex	per_gene_population_zscore_dataset	w4_delta_vs_target_peer_spearman_logfc	0.0913589366070445	0.0696572808783106	0.1219239149244844	127	127	83	ok	+0.091 [0.070, 0.122]
