dataset_pair	dataset_a	dataset_b	similarity_metric	scale_variant	metric	mean	ci_low	ci_high	ci_method	ci_status	ci_level	n_bootstrap_iterations	n_rows	n_finite_rows	n_compounds	uncertainty_scope
L1000 Phase2–Sciplex	l1000_phase2	sciplex	cosine	per_gene_population_zscore_dataset	source_individual_corrected_percentile	0.6303613830923216	0.5956040542975343	0.6728236406872785	bca	ok	0.95	2000	2323	2323	83	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
L1000 Phase2–Sciplex	l1000_phase2	sciplex	cosine	per_gene_population_zscore_dataset	source_peer_normalized_rank	0.5749684838215858	0.5676642594689691	0.5826075366883483	bca	ok	0.95	2000	2323	2323	83	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
L1000 Phase2–Sciplex	l1000_phase2	sciplex	cosine	per_gene_population_zscore_dataset	target_individual_corrected_percentile	0.7475201126957164	0.7084838940145822	0.7854499267984185	bca	ok	0.95	2000	2323	2323	83	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
L1000 Phase2–Sciplex	l1000_phase2	sciplex	cosine	per_gene_population_zscore_dataset	target_peer_normalized_rank	0.5142706329290887	0.5104906341857538	0.5187040118026907	bca	ok	0.95	2000	2323	2323	83	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
L1000 Phase2–Tahoe	l1000_phase2	tahoe	cosine	per_gene_population_zscore_dataset	delta_vs_source_peer_normalized_rank	-0.0057269496005722	-0.0557359615770689	0.0470776081775019	bca	ok	0.95	2000	1755	1755	110	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
L1000 Phase2–Tahoe	l1000_phase2	tahoe	cosine	per_gene_population_zscore_dataset	delta_vs_target_peer_normalized_rank	0.1381863765181617	0.0946528208054688	0.1837111817059304	bca	ok	0.95	2000	1755	1755	110	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
L1000 Phase2–Tahoe	l1000_phase2	tahoe	cosine	per_gene_population_zscore_dataset	observed_auroc	0.6405584077280181	0.5969418946341106	0.681465426683506	bca	ok	0.95	2000	1755	1755	110	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
L1000 Phase2–Tahoe	l1000_phase2	tahoe	cosine	per_gene_population_zscore_dataset	observed_normalized_best_positive_rank	0.6411742420133584	0.5947035515784561	0.6839299635758611	bca	ok	0.95	2000	1755	1755	110	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
L1000 Phase2–Tahoe	l1000_phase2	tahoe	cosine	per_gene_population_zscore_dataset	observed_recall_at_1	0.0347236515845583	0.0162094603253095	0.0677441757467131	bca	ok	0.95	2000	1755	1755	110	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
L1000 Phase2–Tahoe	l1000_phase2	tahoe	cosine	per_gene_population_zscore_dataset	source_individual_corrected_percentile	0.4596365355412512	0.4213638159982149	0.5173832442967742	bca	ok	0.95	2000	1755	1755	110	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
L1000 Phase2–Tahoe	l1000_phase2	tahoe	cosine	per_gene_population_zscore_dataset	source_peer_normalized_rank	0.6469011916139307	0.6312555726065183	0.6600848737140117	bca	ok	0.95	2000	1755	1755	110	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
L1000 Phase2–Tahoe	l1000_phase2	tahoe	cosine	per_gene_population_zscore_dataset	target_individual_corrected_percentile	0.644179196627006	0.5985029833718796	0.6900635173281031	bca	ok	0.95	2000	1755	1755	110	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
L1000 Phase2–Tahoe	l1000_phase2	tahoe	cosine	per_gene_population_zscore_dataset	target_peer_normalized_rank	0.5029878654951967	0.4984780857842456	0.5064825069964733	bca	ok	0.95	2000	1755	1755	110	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
Tahoe–Sciplex	tahoe	sciplex	cosine	per_gene_population_zscore_dataset	delta_vs_source_peer_normalized_rank	0.0481519082645134	-0.0314963501653757	0.1405440841142606	bca	ok	0.95	2000	223	223	23	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
Tahoe–Sciplex	tahoe	sciplex	cosine	per_gene_population_zscore_dataset	delta_vs_target_peer_normalized_rank	0.1866222621196269	0.1165063599255329	0.2745713307686273	bca	ok	0.95	2000	223	223	23	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
Tahoe–Sciplex	tahoe	sciplex	cosine	per_gene_population_zscore_dataset	observed_auroc	0.68793747989217	0.6153476179903509	0.7736281749740866	bca	ok	0.95	2000	223	223	23	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
Tahoe–Sciplex	tahoe	sciplex	cosine	per_gene_population_zscore_dataset	observed_normalized_best_positive_rank	0.6884505932463506	0.6133925332867707	0.7728117102316119	bca	ok	0.95	2000	223	223	23	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
Tahoe–Sciplex	tahoe	sciplex	cosine	per_gene_population_zscore_dataset	observed_recall_at_1	0.0715260017050298	0.0276287381473203	0.1563457933709486	bca	ok	0.95	2000	223	223	23	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
Tahoe–Sciplex	tahoe	sciplex	cosine	per_gene_population_zscore_dataset	source_individual_corrected_percentile	0.5047246850562149	0.4359213250974637	0.6036630051100111	bca	ok	0.95	2000	223	223	23	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
Tahoe–Sciplex	tahoe	sciplex	cosine	per_gene_population_zscore_dataset	source_peer_normalized_rank	0.6402986849818371	0.6158067318870768	0.6653496445112425	bca	ok	0.95	2000	223	223	23	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
Tahoe–Sciplex	tahoe	sciplex	cosine	per_gene_population_zscore_dataset	target_individual_corrected_percentile	0.6920342741207179	0.616529477909307	0.7776451874890294	bca	ok	0.95	2000	223	223	23	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
Tahoe–Sciplex	tahoe	sciplex	cosine	per_gene_population_zscore_dataset	target_peer_normalized_rank	0.5018283311267236	0.4919689818829245	0.510319261209444	bca	ok	0.95	2000	223	223	23	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
Cigs Mce–Cigs Tcm	cigs_mce	cigs_tcm	cosine	per_gene_population_zscore_dataset_cell_type	delta_vs_source_peer_normalized_rank	0.08533048115533484	0.07139066572278938	0.10111003546242181	bca	ok	0.95	2000	11042	11042	974	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
Cigs Mce–Cigs Tcm	cigs_mce	cigs_tcm	cosine	per_gene_population_zscore_dataset_cell_type	delta_vs_target_peer_normalized_rank	0.10569910473938747	0.09167020544477016	0.12030365500815232	bca	ok	0.95	2000	11042	11042	974	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
Cigs Mce–Cigs Tcm	cigs_mce	cigs_tcm	cosine	per_gene_population_zscore_dataset_cell_type	observed_auroc	0.6070619199008871	0.5918165591465072	0.6212703227936645	bca	ok	0.95	2000	11042	11042	974	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
Cigs Mce–Cigs Tcm	cigs_mce	cigs_tcm	cosine	per_gene_population_zscore_dataset_cell_type	observed_normalized_best_positive_rank	0.6073247711423568	0.5924581611331392	0.6206526073648424	bca	ok	0.95	2000	11042	11042	974	95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.
