dataset_pair	dataset_a	dataset_b	scale_variant	metric	mean	ci_low	ci_high	n_rows	n_finite_rows	n_compounds	ci_status	estimate_95_ci
L1000 Phase1–Sciplex	l1000_phase1	sciplex	raw	raw_source_peer_direction_agreement_pair_p05_sd_score	0.16270261071010203	0.1473577802341097	0.18123686429662383	162	66	46	ok	0.163 [0.147, 0.181]
L1000 Phase1–Sciplex	l1000_phase1	sciplex	raw	raw_target_centroid_direction_agreement_pair_p05	0.6289505582239254	0.6026572494557504	0.6513024740317631	162	155	90	ok	0.629 [0.603, 0.651]
L1000 Phase1–Sciplex	l1000_phase1	sciplex	raw	raw_target_peer_direction_agreement_pair_p05	0.5352656187812641	0.5290770616756488	0.5476344734253232	162	66	46	ok	0.535 [0.529, 0.548]
L1000 Phase1–Sciplex	l1000_phase1	sciplex	raw	raw_target_peer_direction_agreement_pair_p05_corrected_percentile	0.9034577468180327	0.8415738666278784	0.9407903880863857	162	66	46	ok	0.903 [0.842, 0.941]
L1000 Phase1–Sciplex	l1000_phase1	sciplex	raw	raw_target_peer_direction_agreement_pair_p05_fraction_below_observed	0.9026473852977532	0.8448846519752826	0.9399765288119626	162	66	46	ok	0.903 [0.845, 0.940]
L1000 Phase1–Sciplex	l1000_phase1	sciplex	raw	raw_target_peer_direction_agreement_pair_p05_sd_score	0.12114354786753097	0.10439493517518422	0.14209038129036228	162	66	46	ok	0.121 [0.104, 0.142]
L1000 Phase1–Tahoe	l1000_phase1	tahoe	raw	baseline_pair_direction_agreement_p05	0.7306995970616411	0.6895820463370321	0.7641506649930158	114	110	85	ok	0.731 [0.690, 0.764]
L1000 Phase1–Tahoe	l1000_phase1	tahoe	raw	delta_vs_baseline_pair_direction_agreement_p05	-0.017595526335950504	-0.15754723653228744	0.08404230241919634	114	32	26	ok	-0.018 [-0.158, 0.084]
L1000 Phase1–Tahoe	l1000_phase1	tahoe	raw	observed_direction_agreement_p05	0.735567815403538	0.601783503787704	0.8245238681479906	114	32	26	ok	0.736 [0.602, 0.825]
L1000 Phase1–Tahoe	l1000_phase1	tahoe	raw	raw_delta_vs_source_centroid_direction_agreement_p05	-0.017595526335950504	-0.14944035544989734	0.0815638526035147	114	32	26	ok	-0.018 [-0.149, 0.082]
L1000 Phase1–Tahoe	l1000_phase1	tahoe	raw	raw_delta_vs_source_peer_direction_agreement_p05	0.1480162943998077	0.017479003431579612	0.24137626698691908	114	32	26	ok	+0.148 [0.017, 0.241]
L1000 Phase1–Tahoe	l1000_phase1	tahoe	raw	raw_delta_vs_target_centroid_direction_agreement_p05	0.22633339044186018	0.10656259905689178	0.3267207669682161	114	32	26	ok	+0.226 [0.107, 0.327]
L1000 Phase1–Tahoe	l1000_phase1	tahoe	raw	raw_delta_vs_target_peer_direction_agreement_p05	0.22788081499415666	0.09551877832729923	0.3251005570829978	114	32	26	ok	+0.228 [0.096, 0.325]
L1000 Phase1–Tahoe	l1000_phase1	tahoe	raw	raw_source_centroid_direction_agreement_pair_p05	0.7306995970616411	0.6912939227460595	0.7640800761808131	114	110	85	ok	0.731 [0.691, 0.764]
L1000 Phase1–Tahoe	l1000_phase1	tahoe	raw	raw_source_peer_direction_agreement_pair_p05	0.5875515210037303	0.5729522425659898	0.6013108965383657	114	32	26	ok	0.588 [0.573, 0.601]
L1000 Phase1–Tahoe	l1000_phase1	tahoe	raw	raw_source_peer_direction_agreement_pair_p05_corrected_percentile	0.7424832568233174	0.5781924509846825	0.8548419022995513	114	32	26	ok	0.742 [0.578, 0.855]
L1000 Phase1–Tahoe	l1000_phase1	tahoe	raw	raw_source_peer_direction_agreement_pair_p05_fraction_below_observed	0.7417302187154138	0.5880899928630656	0.8523940980682977	114	32	26	ok	0.742 [0.588, 0.852]
L1000 Phase1–Tahoe	l1000_phase1	tahoe	raw	raw_source_peer_direction_agreement_pair_p05_sd_score	0.12965554195608828	0.11205928159942301	0.14753755636274304	114	32	26	ok	0.130 [0.112, 0.148]
L1000 Phase1–Tahoe	l1000_phase1	tahoe	raw	raw_target_centroid_direction_agreement_pair_p05	0.49460593586325585	0.46051668987838323	0.5292849263098953	114	111	85	ok	0.495 [0.461, 0.529]
L1000 Phase1–Tahoe	l1000_phase1	tahoe	raw	raw_target_peer_direction_agreement_pair_p05	0.5076870004093813	0.5020556628594522	0.5133305263256948	114	32	26	ok	0.508 [0.502, 0.513]
L1000 Phase1–Tahoe	l1000_phase1	tahoe	raw	raw_target_peer_direction_agreement_pair_p05_corrected_percentile	0.8111248766487691	0.6466793043408685	0.9110419434415696	114	32	26	ok	0.811 [0.647, 0.911]
L1000 Phase1–Tahoe	l1000_phase1	tahoe	raw	raw_target_peer_direction_agreement_pair_p05_fraction_below_observed	0.810586145673696	0.6459090518130736	0.9082302311454299	114	32	26	ok	0.811 [0.646, 0.908]
L1000 Phase1–Tahoe	l1000_phase1	tahoe	raw	raw_target_peer_direction_agreement_pair_p05_sd_score	0.09786201434479647	0.08128026089517106	0.12154140648325874	114	32	26	ok	0.098 [0.081, 0.122]
L1000 Phase2–Cigs Mce	l1000_phase2	cigs_mce	raw	baseline_pair_direction_agreement_p05	0.8361616986353233	0.8129966386365025	0.8550130022256718	68	68	68	ok	0.836 [0.813, 0.855]
L1000 Phase2–Cigs Mce	l1000_phase2	cigs_mce	raw	delta_vs_baseline_pair_direction_agreement_p05	0.0936097579200914	0.05295442955388467	0.130277176840094	68	50	50	ok	+0.094 [0.053, 0.130]
L1000 Phase2–Cigs Mce	l1000_phase2	cigs_mce	raw	observed_direction_agreement_p05	0.9194360775127509	0.8742889746935433	0.9468500496966777	68	50	50	ok	0.919 [0.874, 0.947]
L1000 Phase2–Cigs Mce	l1000_phase2	cigs_mce	raw	raw_delta_vs_source_centroid_direction_agreement_p05	0.0936097579200914	0.0489653805315017	0.12812387696263536	68	50	50	ok	+0.094 [0.049, 0.128]
L1000 Phase2–Cigs Mce	l1000_phase2	cigs_mce	raw	raw_delta_vs_source_peer_direction_agreement_p05	0.27272014497038094	0.23408466597618818	0.30110872410015493	68	50	50	ok	+0.273 [0.234, 0.301]
L1000 Phase2–Cigs Mce	l1000_phase2	cigs_mce	raw	raw_delta_vs_target_centroid_direction_agreement_p05	0.23827981986811086	0.19544879534281753	0.2794411080922069	68	50	50	ok	+0.238 [0.195, 0.279]
