dataset_pair	dataset_a	dataset_b	scale_variant	metric	mean	ci_low	ci_high	n_rows	n_finite_rows	n_compounds	ci_status	estimate_95_ci
L1000 Phase1–Sciplex	l1000_phase1	sciplex	raw	w4_source_peer_deg_lfc_spearman_pair_p05_corrected_percentile	0.6288170707010645	0.5883791276009578	0.6690062185774162	162	147	87	ok	0.629 [0.588, 0.669]
L1000 Phase1–Sciplex	l1000_phase1	sciplex	raw	w4_source_peer_deg_lfc_spearman_pair_p05_fraction_below_observed	0.6259623554222858	0.582298916562116	0.665357100451954	162	147	87	ok	0.626 [0.582, 0.665]
L1000 Phase1–Sciplex	l1000_phase1	sciplex	raw	w4_source_peer_deg_lfc_spearman_pair_p05_sd_score	0.3630685359430541	0.33922523516627884	0.3916435729866007	162	147	87	ok	0.363 [0.339, 0.392]
L1000 Phase1–Sciplex	l1000_phase1	sciplex	raw	w4_target_centroid_deg_lfc_spearman_pair_p05	0.26095766644417306	0.20539733721049647	0.30943429898947883	162	147	87	ok	0.261 [0.205, 0.309]
L1000 Phase1–Sciplex	l1000_phase1	sciplex	raw	w4_target_peer_deg_lfc_spearman_pair_p05	0.0688536516727303	0.05391459083512356	0.08217845900454182	162	147	87	ok	0.069 [0.054, 0.082]
L1000 Phase1–Sciplex	l1000_phase1	sciplex	raw	w4_target_peer_deg_lfc_spearman_pair_p05_corrected_percentile	0.6703047043113208	0.6230206287071067	0.7196457315125913	162	147	87	ok	0.670 [0.623, 0.720]
L1000 Phase1–Sciplex	l1000_phase1	sciplex	raw	w4_target_peer_deg_lfc_spearman_pair_p05_fraction_below_observed	0.6685498386158177	0.6198536708531874	0.7200943057385389	162	147	87	ok	0.669 [0.620, 0.720]
L1000 Phase1–Sciplex	l1000_phase1	sciplex	raw	w4_target_peer_deg_lfc_spearman_pair_p05_sd_score	0.29569002893913965	0.26731985466815267	0.32834255206506446	162	147	87	ok	0.296 [0.267, 0.328]
L1000 Phase1–Tahoe	l1000_phase1	tahoe	raw	w4_delta_vs_source_centroid_deg_lfc_spearman_p05	-0.24999719289328456	-0.376136341456325	-0.14146909363199608	114	50	40	ok	-0.250 [-0.376, -0.141]
L1000 Phase1–Tahoe	l1000_phase1	tahoe	raw	w4_delta_vs_source_peer_deg_lfc_spearman_p05	0.03171019306290002	-0.07300374448255277	0.1333149673275922	114	50	40	ok	+0.032 [-0.073, 0.133]
L1000 Phase1–Tahoe	l1000_phase1	tahoe	raw	w4_delta_vs_target_centroid_deg_lfc_spearman_p05	0.1408618561606981	0.01997005491093697	0.2506403517699939	114	50	40	ok	+0.141 [0.020, 0.251]
L1000 Phase1–Tahoe	l1000_phase1	tahoe	raw	w4_delta_vs_target_peer_deg_lfc_spearman_p05	0.15331606136517625	0.038838341312281574	0.2463794987685439	114	50	40	ok	+0.153 [0.039, 0.246]
L1000 Phase1–Tahoe	l1000_phase1	tahoe	raw	w4_observed_deg_lfc_spearman_sym_p05	0.17415392046766848	0.07045246704831114	0.25858584469321194	114	50	40	ok	0.174 [0.070, 0.259]
L1000 Phase1–Tahoe	l1000_phase1	tahoe	raw	w4_source_centroid_deg_lfc_spearman_pair_p05	0.36247854047859424	0.28118113109805226	0.42846985850919456	114	105	80	ok	0.362 [0.281, 0.428]
L1000 Phase1–Tahoe	l1000_phase1	tahoe	raw	w4_source_peer_deg_lfc_spearman_pair_p05	0.0806430231985889	0.05512701177191792	0.10921481679501394	114	105	80	ok	0.081 [0.055, 0.109]
L1000 Phase1–Tahoe	l1000_phase1	tahoe	raw	w4_source_peer_deg_lfc_spearman_pair_p05_corrected_percentile	0.5460961513916116	0.4878997477276439	0.6057829567675571	114	105	80	ok	0.546 [0.488, 0.606]
L1000 Phase1–Tahoe	l1000_phase1	tahoe	raw	w4_source_peer_deg_lfc_spearman_pair_p05_fraction_below_observed	0.5433651206831499	0.4863926878684755	0.6016195562823049	114	105	80	ok	0.543 [0.486, 0.602]
L1000 Phase1–Tahoe	l1000_phase1	tahoe	raw	w4_source_peer_deg_lfc_spearman_pair_p05_sd_score	0.39136858810047614	0.3553110440962246	0.43137583974302607	114	105	80	ok	0.391 [0.355, 0.431]
L1000 Phase1–Tahoe	l1000_phase1	tahoe	raw	w4_target_centroid_deg_lfc_spearman_pair_p05	-0.011866457432706043	-0.080759732751917	0.051955821615017155	114	106	80	ok	-0.012 [-0.081, 0.052]
L1000 Phase1–Tahoe	l1000_phase1	tahoe	raw	w4_target_peer_deg_lfc_spearman_pair_p05	-0.0010933207310255889	-0.020261001519330194	0.014615444896894576	114	106	80	ok	-0.001 [-0.020, 0.015]
L1000 Phase1–Tahoe	l1000_phase1	tahoe	raw	w4_target_peer_deg_lfc_spearman_pair_p05_corrected_percentile	0.6429366136138437	0.5828629361344602	0.7057053996260172	114	106	80	ok	0.643 [0.583, 0.706]
L1000 Phase1–Tahoe	l1000_phase1	tahoe	raw	w4_target_peer_deg_lfc_spearman_pair_p05_fraction_below_observed	0.6419911265851621	0.5755844196932721	0.7011507881465362	114	106	80	ok	0.642 [0.576, 0.701]
L1000 Phase1–Tahoe	l1000_phase1	tahoe	raw	w4_target_peer_deg_lfc_spearman_pair_p05_sd_score	0.335357240747443	0.29717339133046106	0.3834660066305826	114	106	80	ok	0.335 [0.297, 0.383]
L1000 Phase2–Cigs Mce	l1000_phase2	cigs_mce	raw	w4_delta_vs_source_centroid_deg_lfc_spearman_p05	-0.16256781177787155	-0.23576142056834187	-0.09476738119321482	68	57	57	ok	-0.163 [-0.236, -0.095]
