dataset_a	dataset_b	summary_level	metric	value_col	mean	ci_low	ci_high	ci_half_width	ci_method	ci_status	ci_level	n_bootstrap_iterations	n_bootstrap_valid	n_rows	n_finite_rows	n_compounds	cluster_col	inner_strata	outer_strata	uncertainty_scope	cell_type
l1000_phase1	tahoe	peer_baseline_dataset_pair	pb_target_peer_spearman_logfc_pair	mean_pb_target_peer_spearman_logfc_pair	-0.003096969198515685	-0.005196302541170981	-8.424928869650981e-05	0.0025560266262372356	bca	ok	0.95	2000	2000	114	114	86	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
l1000_phase1	tahoe	peer_baseline_dataset_pair	pb_delta_vs_target_peer_spearman_logfc	mean_pb_delta_vs_target_peer_spearman_logfc	0.040777653315291464	0.022318580202652444	0.06558496149752878	0.02163319064743817	bca	ok	0.95	2000	2000	114	114	86	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
l1000_phase1	tahoe	peer_baseline_dataset_pair	pb_target_peer_spearman_logfc_pair_sd_score	mean_pb_target_peer_spearman_logfc_pair_sd_score	0.047369718122818184	0.04567504459331353	0.04935973628720326	0.0018423458469448671	bca	ok	0.95	2000	2000	114	114	86	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
l1000_phase1	tahoe	peer_baseline_dataset_pair	pb_target_peer_spearman_logfc_pair_fraction_below_observed	mean_pb_target_peer_spearman_logfc_pair_fraction_below_observed	0.6217858182346749	0.5589900040231425	0.6840151673582765	0.06251258166756701	bca	ok	0.95	2000	2000	114	114	86	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
l1000_phase1	tahoe	peer_baseline_dataset_pair	pb_target_peer_spearman_logfc_pair_corrected_percentile	mean_pb_target_peer_spearman_logfc_pair_corrected_percentile	0.6229038859776835	0.5619885935070738	0.683675818668844	0.06084361258088511	bca	ok	0.95	2000	2000	114	114	86	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
l1000_phase2	sciplex	peer_baseline_dataset_pair	pb_observed_spearman_logfc	mean_pb_observed_spearman_logfc	0.10202561786690542	0.07924389920867252	0.13298265826082717	0.026869379526077326	bca	ok	0.95	2000	2000	127	127	83	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
l1000_phase2	sciplex	peer_baseline_dataset_pair	pb_source_centroid_spearman_logfc_pair	mean_pb_source_centroid_spearman_logfc_pair	0.2043871008775652	0.1800758694890888	0.2280484144374692	0.023986272474190204	bca	ok	0.95	2000	2000	127	127	83	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
l1000_phase2	sciplex	peer_baseline_dataset_pair	pb_delta_vs_source_centroid_spearman_logfc	mean_pb_delta_vs_source_centroid_spearman_logfc	-0.10236148301065981	-0.12059311584566071	-0.08211742434000843	0.019237845752826138	bca	ok	0.95	2000	2000	127	127	83	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
l1000_phase2	sciplex	peer_baseline_dataset_pair	pb_target_centroid_spearman_logfc_pair	mean_pb_target_centroid_spearman_logfc_pair	0.0783598460753378	0.06388706179235262	0.0954267160751935	0.015769827141420438	bca	ok	0.95	2000	2000	127	127	83	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
l1000_phase2	sciplex	peer_baseline_dataset_pair	pb_delta_vs_target_centroid_spearman_logfc	mean_pb_delta_vs_target_centroid_spearman_logfc	0.023665771791567623	0.008646518294162306	0.04369851893739375	0.017526000321615724	bca	ok	0.95	2000	2000	127	127	83	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
l1000_phase2	sciplex	peer_baseline_dataset_pair	pb_source_peer_spearman_logfc_pair	mean_pb_source_peer_spearman_logfc_pair	0.05568516150407747	0.050795739410805466	0.06007491167160106	0.004639586130397798	bca	ok	0.95	2000	2000	127	127	83	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
l1000_phase2	sciplex	peer_baseline_dataset_pair	pb_delta_vs_source_peer_spearman_logfc	mean_pb_delta_vs_source_peer_spearman_logfc	0.04634045636282795	0.02464588017025569	0.0772059284336635	0.026280024131703904	bca	ok	0.95	2000	2000	127	127	83	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
l1000_phase2	sciplex	peer_baseline_dataset_pair	pb_source_peer_spearman_logfc_pair_sd_score	mean_pb_source_peer_spearman_logfc_pair_sd_score	0.1076576112906733	0.10359539294642733	0.11182310345520795	0.004113855254390307	bca	ok	0.95	2000	2000	127	127	83	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
l1000_phase2	sciplex	peer_baseline_dataset_pair	pb_source_peer_spearman_logfc_pair_fraction_below_observed	mean_pb_source_peer_spearman_logfc_pair_fraction_below_observed	0.5579670516357256	0.5216634040116148	0.6012603481329215	0.039798472060653345	bca	ok	0.95	2000	2000	127	127	83	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
l1000_phase2	sciplex	peer_baseline_dataset_pair	pb_source_peer_spearman_logfc_pair_corrected_percentile	mean_pb_source_peer_spearman_logfc_pair_corrected_percentile	0.5597731255466566	0.524399672148243	0.6039607991381672	0.03978056349496212	bca	ok	0.95	2000	2000	127	127	83	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
l1000_phase2	sciplex	peer_baseline_dataset_pair	pb_target_peer_spearman_logfc_pair	mean_pb_target_peer_spearman_logfc_pair	0.018424915565839955	0.015213184850088726	0.02175839640308121	0.003272605776496242	bca	ok	0.95	2000	2000	127	127	83	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
l1000_phase2	sciplex	peer_baseline_dataset_pair	pb_delta_vs_target_peer_spearman_logfc	mean_pb_delta_vs_target_peer_spearman_logfc	0.08360070230106545	0.06119068762074259	0.1129213620511461	0.025865337215201754	bca	ok	0.95	2000	2000	127	127	83	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
l1000_phase2	sciplex	peer_baseline_dataset_pair	pb_target_peer_spearman_logfc_pair_sd_score	mean_pb_target_peer_spearman_logfc_pair_sd_score	0.050794890889180364	0.047906102116500905	0.05450921069322378	0.003301554288361437	bca	ok	0.95	2000	2000	127	127	83	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
l1000_phase2	sciplex	peer_baseline_dataset_pair	pb_target_peer_spearman_logfc_pair_fraction_below_observed	mean_pb_target_peer_spearman_logfc_pair_fraction_below_observed	0.6994111752561868	0.6558498881350193	0.7377822626463433	0.04096618725566198	bca	ok	0.95	2000	2000	127	127	83	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
l1000_phase2	sciplex	peer_baseline_dataset_pair	pb_target_peer_spearman_logfc_pair_corrected_percentile	mean_pb_target_peer_spearman_logfc_pair_corrected_percentile	0.7006509777894518	0.6607062815294079	0.7408757558084785	0.04008473713953531	bca	ok	0.95	2000	2000	127	127	83	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
l1000_phase2	tahoe	peer_baseline_dataset_pair	pb_observed_spearman_logfc	mean_pb_observed_spearman_logfc	0.027032745539362035	0.016543562093370663	0.04267785332548313	0.013067145616056233	bca	ok	0.95	2000	2000	134	134	110	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
l1000_phase2	tahoe	peer_baseline_dataset_pair	pb_source_centroid_spearman_logfc_pair	mean_pb_source_centroid_spearman_logfc_pair	0.27636114968533393	0.2591018245305374	0.2922483981961433	0.016573286832802958	bca	ok	0.95	2000	2000	134	134	110	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
l1000_phase2	tahoe	peer_baseline_dataset_pair	pb_delta_vs_source_centroid_spearman_logfc	mean_pb_delta_vs_source_centroid_spearman_logfc	-0.24932840414597182	-0.26582151075263694	-0.23395240432494815	0.01593455321384439	bca	ok	0.95	2000	2000	134	134	110	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
l1000_phase2	tahoe	peer_baseline_dataset_pair	pb_target_centroid_spearman_logfc_pair	mean_pb_target_centroid_spearman_logfc_pair	0.011183088590187051	0.005138282772041767	0.016657607350446017	0.0057596622892021245	bca	ok	0.95	2000	2000	134	134	110	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
l1000_phase2	tahoe	peer_baseline_dataset_pair	pb_delta_vs_target_centroid_spearman_logfc	mean_pb_delta_vs_target_centroid_spearman_logfc	0.015849656949174982	0.004374446277916319	0.029944174638136936	0.012784864180110309	bca	ok	0.95	2000	2000	134	134	110	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
l1000_phase2	tahoe	peer_baseline_dataset_pair	pb_source_peer_spearman_logfc_pair	mean_pb_source_peer_spearman_logfc_pair	0.11648892840322109	0.11183705165970922	0.12064185506368785	0.004402401701989314	bca	ok	0.95	2000	2000	134	134	110	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
l1000_phase2	tahoe	peer_baseline_dataset_pair	pb_delta_vs_source_peer_spearman_logfc	mean_pb_delta_vs_source_peer_spearman_logfc	-0.08945618286385905	-0.10130492734619284	-0.07295615462233292	0.014174386361929962	bca	ok	0.95	2000	2000	134	134	110	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
l1000_phase2	tahoe	peer_baseline_dataset_pair	pb_source_peer_spearman_logfc_pair_sd_score	mean_pb_source_peer_spearman_logfc_pair_sd_score	0.11304921943363648	0.10928758354332353	0.11704083057933355	0.0038766235180050096	bca	ok	0.95	2000	2000	134	134	110	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
l1000_phase2	tahoe	peer_baseline_dataset_pair	pb_source_peer_spearman_logfc_pair_fraction_below_observed	mean_pb_source_peer_spearman_logfc_pair_fraction_below_observed	0.28610886182242246	0.2587591584398626	0.3176283231277838	0.029434582343960597	bca	ok	0.95	2000	2000	134	134	110	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
l1000_phase2	tahoe	peer_baseline_dataset_pair	pb_source_peer_spearman_logfc_pair_corrected_percentile	mean_pb_source_peer_spearman_logfc_pair_corrected_percentile	0.2878818093348415	0.2625726160663486	0.3239364750657698	0.030681929499710603	bca	ok	0.95	2000	2000	134	134	110	pubchem_cid			95% BCa bootstrap CI clustered by PubChem compound; uncertainty is over the observed compound panel, not broader chemical space.	
